Company,Symbol
138 STUDENT LIVING JAMAICA LIMITED,138SL
A.S. BRYDEN AND SONS HOLDINGS LIMITED,ASBH
AMG PACKAGING & PAPER COMPANY LIMITED,AMG
ACCESS FINANCIAL SERVICES LIMITED,AFS
BERGER PAINTS JAMAICA LTD,BRG
BLUE POWER GROUP LIMITED,BPOW
BARITA INVESTMENTS LIMITED,BIL
CAC 2000 LIMITED,CAC
CARIBBBEAN ASSURANCE BROKERS LIMITED,CABROKERS
CARIBBEAN CEMENT COMPANY LTD,CCC
CARIBBEAN CREAM LIMITED,KREMI
CARIBBEAN FLAVOURS & FRAGRANCES LIMITED,CFF
CARIBBEAN PRODUCERS JAMAICA LIMITED,CPJ
CARRERAS LIMITED,CAR
CONSOLIDATED BAKERIES (JAMAICA) LIMITED,PURITY
CARGO HANDLERS LIMITED,CHL
CIBONEY GROUP LIMITED RENAMED to INNOVATIVE ENERGY GROUP LIMITED,ENERGY
DERRIMON TRADING COMPANY LIMITED,DTL
DOLPHIN COVE LIMITED,DOLLA
DOLPHIN COVE LIMITED,DCOVE
EPPLEY CARIBBEAN PROPERTY FUND LIMITED SCC,CPFV
EVERYTHING FRESH LIMITED,EFRESH
EDUFOCAL LIMITED,LEARN
EPPLEY LIMITED,ELITE
EPPLEY LIMITED,EPLY
EXPRESS CATERING LIMITED,ECL
FIRST ROCK CAPITAL HOLDINGS LIMITED (JMD),FIRSTROCKJMD
FIRST ROCK CAPITAL HOLDINGS LIMITED(USD),FIRSTROCKUSD
FONTANA LIMITED,FTNA
FOSRICH COMPANY LIMITED,FOSRICH
FUTURE ENERGY SOURCE COMPANY LIMITED,FESCO
GRACEKENNEDY LIMITED,GK
GUARDIAN HOLDINGS LIMITED,GHL
GWEST CORPORATION LIMITED,GWEST
GENERAL ACCIDENT INSURANCE COMPANY (JA) LIMITED,GENAC
HONEY BUN (1982) LIMITED,HONBUN
INDIES PHARMA JAMAICA LIMITED ORDINARY SHARES,INDIES
ISP FINANCE SERVICES LIMITED,ISP
IMAGE PLUS CONSULTANTS LIMITED,IPCL
IRONROCK INSURANCE COMPANY LIMITED,ROC
JAMAICA PRODUCERS GROUP LTD.,JP
JAMAICA BROILERS GROUP,JBG
JAMAICA STOCK EXCHANGE,JSE
JAMAICAN TEAS LIMITED,JAMT
JETCON CORPORATION LIMITED,JETCON
JFP LIMITED,JFP
KEY INSURANCE COMPANY LIMITED,KEY
K.L.E. GROUP LIMITED,KLE
KINGSTON PROPERTIES LIMITED,KPREIT
KINGSTON WHARVES LIMITED,KW
KINTYRE HOLDINGS (JA) LIMITED (Formerly ICREATE LIMITED),KYNTR
KNUTSFORD EXPRESS SERVICES LIMITED,KEX
LASCO DISTRIBUTORS LIMITED,LASD
LASCO MANUFACTURING LIMITED,LASM
LASCO FINANCIAL SERVICES LIMITED,LASF
LUMBER DEPOT LIMITED,LUMBER
MASSY HOLDINGS LTD,MASSY
MEDICAL DISPOSABLES & SUPPLIES LIMITED,MDS
MPC CARIBBEAN CLEAN ENERGY LIMITED,MPCCEL
MAILPAC GROUP LIMITED,MAILPAC
MAIN EVENT ENTERTAINMENT GROUP LIMITED,MEEG
MARGARITAVILLE (TURKS) LIMITED,MTL
MAYBERRY INVESTMENTS LIMITED / MAYBERRY GROUP LTD.,MGL
NCB FINANCIAL GROUP LIMITED,NCBFG
ONE GREAT STUDIO COMPANY LIMITED,1GS
ONE ON ONE EDUCATIONAL SERVICES LIMITED,ONE
PARAMOUNT TRADING (JAMAICA) LIMITED,PTL
PANJAM INVESTMENT LIMITED RENAMED TO PAN JAMAICA GROUP LIMITED,PJAM
PORTLAND JSX LIMITED,PJX
PROVEN INVESTMENTS LIMITED RENAMED TO PROVEN GROUP LIMITED,PROVEN
PULSE INVESTMENTS LIMITED,PULS
QWI INVESTMENTS LIMITED,QWI
RADIO JAMAICA LIMITED,RJR
REGENCY PETROLEUM COMPANY LIMITED,RPL
SAGICOR GROUP JAMAICA LIMITED,SJ
SALADA FOODS JAMAICA LTD.,SALF
SEPROD LIMITED,SEP
MFS CAPITAL PARTNERS,MFS
STATIONERY AND OFFICE SUPPLIES LIMITED,SOS
SAGICOR REAL ESTATE X FUND LIMITED,XFUND
SAGICOR SELECT FUNDS LIMITED - FINANCIAL,SELECTF
SAGICOR SELECT FUNDS LIMITED - MANUFACTURING & DISTRIBUTION,SELECTMD
SCOTIA GROUP JAMAICA LIMITED,SGJ
SPUR TREE SPICES JAMAICA LIMITED,SPURTREE
SSL VENTURE CAPITAL JAMAICA LIMITED,SSLVC
STANLEY MOTTA LIMITED,SML
STERLING INVESTMENTS LIMITED,SIL
SUPREME VENTURES LIMITED,SVL
SYGNUS CREDIT INVESTMENTS LIMITED (JMD),SCIJMD
SYGNUS CREDIT INVESTMENTS LIMITED (USD),SCIUSD
SYGNUS REAL ESTATE FINANCE LIMITED (JMD),SRFJMD
SYGNUS REAL ESTATE FINANCE LIMITED (USD),SRFUSD
THE PALACE AMUSEMENT COMPANY (1921) LIMITED,PAL
TROPICAL BATTERY COMPANY LIMITED,TROPICAL
VM INVESTMENTS LIMITED,VMIL
WISYNCO GROUP LTD ,WISYNCO
WIGTON ENERGY LIMITED (FORMERLY WIGTON WINDFARM LIMITED),WIG